par_id,exp_dep,age_dep,seasforc_width_wks,R0,seasforce_peak,omega,const_delta
785,0.75,0.5625,3,1.1,0.75,0.004,1.909118563167689
786,0.875,0.5625,3,1.1,0.75,0.004,2.3059286516742707
787,1,0.5625,3,1.1,0.75,0.004,2.764919248595368
788,1.125,0.5625,3,1.1,0.75,0.004,3.2933550010288664
789,1.25,0.5625,3,1.1,0.75,0.004,3.899453951148799
790,1.375,0.5625,3,1.1,0.75,0.004,4.592559790573797
796,0.25,0.625,3,1.1,0.75,0.004,0.9893914279936842
797,0.375,0.625,3,1.1,0.75,0.004,1.238280803218315
798,0.5,0.625,3,1.1,0.75,0.004,1.5348047430061689
799,0.625,0.625,3,1.1,0.75,0.004,1.884884142843157
800,0.75,0.625,3,1.1,0.75,0.004,2.2949179620295914
801,0.875,0.625,3,1.1,0.75,0.004,2.7719164141934542
802,1,0.625,3,1.1,0.75,0.004,3.323660965631452
803,1.125,0.625,3,1.1,0.75,0.004,3.958884321286254
811,0.25,0.6875,3,1.1,0.75,0.004,1.1648325946703895
812,0.375,0.6875,3,1.1,0.75,0.004,1.4578556071263358
813,0.5,0.6875,3,1.1,0.75,0.004,1.8069598548409018
814,0.625,0.6875,3,1.1,0.75,0.004,2.219116140123952
815,0.75,0.6875,3,1.1,0.75,0.004,2.7018581004763664
816,0.875,0.6875,3,1.1,0.75,0.004,3.2634390167518474
817,1,0.6875,3,1.1,0.75,0.004,3.9130201827722915
818,1.125,0.6875,3,1.1,0.75,0.004,4.660882806833085
826,0.25,0.75,3,1.1,0.75,0.004,1.348883212717672
827,0.375,0.75,3,1.1,0.75,0.004,1.6882056391764098
828,0.5,0.75,3,1.1,0.75,0.004,2.092470476360038
829,0.625,0.75,3,1.1,0.75,0.004,2.5697499556415235
830,0.75,0.75,3,1.1,0.75,0.004,3.128768074960247
831,0.875,0.75,3,1.1,0.75,0.004,3.779082183624897
841,0.25,0.8125,3,1.1,0.75,0.004,1.541649448708554
842,0.375,0.8125,3,1.1,0.75,0.004,1.929463772997322
843,0.5,0.8125,3,1.1,0.75,0.004,2.391501299671501
844,0.625,0.8125,3,1.1,0.75,0.004,2.9369878467475483
845,0.75,0.8125,3,1.1,0.75,0.004,3.5758941414811454
846,0.875,0.8125,3,1.1,0.75,0.004,4.3191433550956715
856,0.25,0.875,3,1.1,0.75,0.004,1.7436680977534151
857,0.375,0.875,3,1.1,0.75,0.004,2.1823018388289817
858,0.5,0.875,3,1.1,0.75,0.004,2.704885034315832
859,0.625,0.875,3,1.1,0.75,0.004,3.3218524588408718
871,0.25,0.9375,3,1.1,0.75,0.004,1.9557564108379968
872,0.375,0.9375,3,1.1,0.75,0.004,2.4477426737189236
873,0.5,0.9375,3,1.1,0.75,0.004,3.0338894502106446
886,0.25,1,3,1.1,0.75,0.004,2.1789015459890377
887,0.375,1,3,1.1,0.75,0.004,2.7270217632390428
888,0.5,1,3,1.1,0.75,0.004,3.3800458875097505
929,1.875,0.1875,5,1.1,0.75,0.004,1.364593562742744
930,2,0.1875,5,1.1,0.75,0.004,1.5774122319577717
942,1.625,0.25,5,1.1,0.75,0.004,1.5212649068245703
943,1.75,0.25,5,1.1,0.75,0.004,1.7692271616871733
944,1.875,0.25,5,1.1,0.75,0.004,2.05095938065683
945,2,0.25,5,1.1,0.75,0.004,2.3708219814506943
955,1.375,0.3125,5,1.1,0.75,0.004,1.6023891581571188
956,1.5,0.3125,5,1.1,0.75,0.004,1.878294679147072
957,1.625,0.3125,5,1.1,0.75,0.004,2.1925152252679094
958,1.75,0.3125,5,1.1,0.75,0.004,2.549889550172852
959,1.875,0.3125,5,1.1,0.75,0.004,2.9559346622163902
968,1.125,0.375,5,1.1,0.75,0.004,1.5850246112453208
969,1.25,0.375,5,1.1,0.75,0.004,1.8767276777200566
970,1.375,0.375,5,1.1,0.75,0.004,2.210305385966898
971,1.5,0.375,5,1.1,0.75,0.004,2.590884258432218
972,1.625,0.375,5,1.1,0.75,0.004,3.0243141539958582
981,0.875,0.4375,5,1.1,0.75,0.004,1.4676142268211165
982,1,0.4375,5,1.1,0.75,0.004,1.7597399738729274
983,1.125,0.4375,5,1.1,0.75,0.004,2.096064268932635
984,1.25,0.4375,5,1.1,0.75,0.004,2.4818175060987113
985,1.375,0.4375,5,1.1,0.75,0.004,2.922946501956559
986,1.5,0.4375,5,1.1,0.75,0.004,3.426230659455218
987,1.625,0.4375,5,1.1,0.75,0.004,3.999405934294868
994,0.625,0.5,5,1.1,0.75,0.004,1.2709809777318215
995,0.75,0.5,5,1.1,0.75,0.004,1.5474675651920973
