agegroup,epi_year,epi_year_wk_start,parname,par_bin,varname,parvalue,mean_parvalue,median,mean,ci50_l,ci50_u,ci95_l,ci95_u
1,2023,23,seasforce_peak,10,peak_yday,1.4448627897897959,1.4448627897897959,0,-0.41,-7,0,-14,0
1,2023,23,waning,1,cumul_hosp,0.002299532572093675,0.002299532572093675,1.0188983976493926,1.0593631957482994,1.0062327116458911,1.0888067113035231,0.999639668135698,1.2850329284681747
1,2023,23,waning,1,peak_hosp,0.002299532572093675,0.002299532572093675,1.0201024860302401,1.0961600971551382,0.9978759459230939,1.129356503662343,0.8525415621118112,1.6066276977114788
1,2023,23,waning,1,peak_yday,0.002299532572093675,0.002299532572093675,0,7.49,-7,0,-21,337.17500000000007
1,2023,23,waning,2,cumul_hosp,0.0024724385871146446,0.0024724385871146446,1.032069513887783,1.066720724813655,1.0076785606705607,1.0932631400919226,0.9996572622756712,1.3178062420923187
1,2023,23,waning,2,peak_hosp,0.0024724385871146446,0.0024724385871146446,1.0155392836259476,1.0785385062009556,0.9989185028149907,1.0915066719443824,0.8819459878923691,1.5981511534995936
1,2023,23,waning,2,peak_yday,0.0024724385871146446,0.0024724385871146446,0,-1.145,-7,0,-21,0
1,2023,23,waning,3,cumul_hosp,0.00259052577697695,0.00259052577697695,1.0334237671484192,1.0643934452147386,1.0096765034276538,1.091931806994301,0.9996486748970002,1.2675984022558184
1,2023,23,waning,3,peak_hosp,0.00259052577697695,0.00259052577697695,1.017556393688424,1.1022004266919212,0.9994148860208365,1.13920764245668,0.9213949873723056,1.614185161957416
1,2023,23,waning,3,peak_yday,0.00259052577697695,0.00259052577697695,0,2.47,-7,0,-21,7
1,2023,23,waning,4,cumul_hosp,0.0026984439358428147,0.0026984439358428147,1.0350771429850292,1.0685007216665026,1.0075784652203224,1.101132301162686,1.0002651651478047,1.2725327277446226
1,2023,23,waning,4,peak_hosp,0.0026984439358428147,0.0026984439358428147,1.016762324807359,1.0904176315329934,0.99889907098708,1.1340939703125157,0.9050476962778337,1.603022270177915
1,2023,23,waning,4,peak_yday,0.0026984439358428147,0.0026984439358428147,0,0.575,-7,0,-21.174999999999997,0.1750000000000398
1,2023,23,waning,5,cumul_hosp,0.00279511236191769,0.00279511236191769,1.0327140157529113,1.060683166163149,1.0060291121051805,1.0997598048498436,1.0005326113572195,1.2445188045530349
1,2023,23,waning,5,peak_hosp,0.00279511236191769,0.00279511236191769,1.0142504659402989,1.0867663688002152,0.9997570762227896,1.1218538234623694,0.8917391185380411,1.5532599740713051
1,2023,23,waning,5,peak_yday,0.00279511236191769,0.00279511236191769,0,-2.69,-7,0,-21,0
1,2023,23,waning,6,cumul_hosp,0.0029110014839288196,0.0029110014839288196,1.0404871323191878,1.0858609258720076,1.008588638129349,1.1341598889659632,1.0004030980808678,1.3247235797654566
1,2023,23,waning,6,peak_hosp,0.0029110014839288196,0.0029110014839288196,1.0198517678876298,1.126667619032002,0.999465140210503,1.1567993500237694,0.9050589966833209,1.7252283043305658
1,2023,23,waning,6,peak_yday,0.0029110014839288196,0.0029110014839288196,0,-1.285,-7,0,-21,0.1750000000000398
1,2023,23,waning,7,cumul_hosp,0.0030181942059955297,0.0030181942059955297,1.0282867379551968,1.0633466957717328,1.0075522314809349,1.092963235107229,1.0005421290077041,1.2817505276765087
1,2023,23,waning,7,peak_hosp,0.0030181942059955297,0.0030181942059955297,1.0177291871982956,1.088289208034522,0.9992426528720408,1.110398996370499,0.8968648076182062,1.6616642544157856
1,2023,23,waning,7,peak_yday,0.0030181942059955297,0.0030181942059955297,0,-2.095,-7,0,-21,0
1,2023,23,waning,8,cumul_hosp,0.00317676020789634,0.00317676020789634,1.028773548466174,1.0697380533670227,1.0086726388788934,1.1052800177839797,1.0013815762296716,1.3008489193247352
1,2023,23,waning,8,peak_hosp,0.00317676020789634,0.00317676020789634,1.0122792664958526,1.0975878373593178,1.0011257137206089,1.0870582997367086,0.9125766729568713,1.683229903520533
1,2023,23,waning,8,peak_yday,0.00317676020789634,0.00317676020789634,0,-0.83,-7,0,-21,0
1,2023,23,waning,9,cumul_hosp,0.003371384556478485,0.003371384556478485,1.0401155302951122,1.068676272119225,1.0088857555541775,1.113530955820023,1.001155265845447,1.27363876078995
1,2023,23,waning,9,peak_hosp,0.003371384556478485,0.003371384556478485,1.0125906949486256,1.0981381927931446,1.0006025041687172,1.1477514012477776,0.9192939767800339,1.6255315831215291
1,2023,23,waning,9,peak_yday,0.003371384556478485,0.003371384556478485,0,8.435,-7,0,-21,344.17500000000007
1,2023,23,waning,10,cumul_hosp,0.00375407159142878,0.00375407159142878,1.0409137360617833,1.080346218264915,1.0079906451499956,1.1165318386841612,1.0017654462243362,1.3989747175965173
1,2023,23,waning,10,peak_hosp,0.00375407159142878,0.00375407159142878,1.0129851947999702,1.0931012890013794,1.0004551395545105,1.1099449503787875,0.938686822605336,1.6560775117302053
1,2023,23,waning,10,peak_yday,0.00375407159142878,0.00375407159142878,0,3.135,-7,0,-14,0
1,2023,40,age_dep,1,cumul_hosp,0.09271723219298486,0.09271723219298486,1.0738487181983087,1.0894331912159485,1.0076875965632182,1.1699922886710004,0.8576707417924899,1.324981862838069
1,2023,40,age_dep,1,peak_hosp,0.09271723219298486,0.09271723219298486,1.1911381430172536,1.2386905598176183,1.0272163720628207,1.4259758749943092,0.8466126472093285,1.7709513737058156
1,2023,40,age_dep,1,peak_yday,0.09271723219298486,0.09271723219298486,-7,4.065,-14,0,-28,337.17500000000007
1,2023,40,age_dep,2,cumul_hosp,0.12118278064754849,0.12118278064754849,1.0291153958216972,1.0589800509465055,0.998104800344519,1.1230888358070141,0.8642997695766989,1.29049205375551
1,2023,40,age_dep,2,peak_hosp,0.12118278064754849,0.12118278064754849,1.0913237758053687,1.1740527359071153,1.0007682245505065,1.3149636309752544,0.8304303023790256,1.769138032431539
1,2023,40,age_dep,2,peak_yday,0.12118278064754849,0.12118278064754849,-7,7.955,-14,0,-21,344
1,2023,40,age_dep,3,cumul_hosp,0.14134282762604125,0.14134282762604125,1.0284261458235642,1.0572248757917537,1.0000248699734033,1.096378119797912,0.9022559043118897,1.2928721033156538
1,2023,40,age_dep,3,peak_hosp,0.14134282762604125,0.14134282762604125,1.0641572889710371,1.1580057569829159,1.0084606723583835,1.2390556121199567,0.8908568777133157,1.7117981608222312
1,2023,40,age_dep,3,peak_yday,0.14134282762604125,0.14134282762604125,-7,7.39,-14,0,-21,344
1,2023,40,age_dep,4,cumul_hosp,0.1618763042301803,0.1618763042301803,1.015570739398635,1.0424072655068284,0.9983786050100586,1.0679634240982168,0.9289618811803939,1.267002381493564
1,2023,40,age_dep,4,peak_hosp,0.1618763042301803,0.1618763042301803,1.035175078724364,1.1171071489633653,1.0021554620199198,1.184689916175623,0.9057338892248692,1.6553233446010094
1,2023,40,age_dep,4,peak_yday,0.1618763042301803,0.1618763042301803,-7,-0.3,-7,0,-21,0
1,2023,40,age_dep,5,cumul_hosp,0.18013046519203055,0.18013046519203055,1.0056847143754577,1.0347691817640117,0.9981219897254391,1.0386288663792145,0.9400402662629067,1.2387617986050745
1,2023,40,age_dep,5,peak_hosp,0.18013046519203055,0.18013046519203055,1.0252839301696817,1.097862625955072,0.9996266462564034,1.1197465509473503,0.9335248531187827,1.5606734584770712
1,2023,40,age_dep,5,peak_yday,0.18013046519203055,0.18013046519203055,0,-0.445,-7,0,-21,0
1,2023,40,age_dep,6,cumul_hosp,0.1976434322760091,0.1976434322760091,1.0022171288641166,1.0226305272325815,0.9978019574316417,1.029005958877626,0.9632689671705754,1.1571949681410645
1,2023,40,age_dep,6,peak_hosp,0.1976434322760091,0.1976434322760091,1.0117185268063311,1.0664843802691621,0.999290044086107,1.0933736589156535,0.9412708995502659,1.4551165190250188
1,2023,40,age_dep,6,peak_yday,0.1976434322760091,0.1976434322760091,0,-3.605,-7,0,-14.174999999999997,0
1,2023,40,age_dep,7,cumul_hosp,0.2170314832406361,0.2170314832406361,1.0020812910084609,1.0181155139519973,0.9982491214832834,1.0184120898420284,0.988675636951243,1.1357711153758154
1,2023,40,age_dep,7,peak_hosp,0.2170314832406361,0.2170314832406361,1.007513583708398,1.0517185728063785,0.99919921221928365,1.058670694525138,0.9704538050975234,1.2873328220184284
1,2023,40,age_dep,7,peak_yday,0.2170314832406361,0.2170314832406361,0,-0.87,-7,0,-14,0
1,2023,40,age_dep,8,cumul_hosp,0.23853720968753817,0.23853720968753817,1.0007765469835679,1.0123260900467135,0.9981973881207987,1.0066281677685902,0.9815025493226646,1.1398587155457431
1,2023,40,age_dep,8,peak_hosp,0.23853720968753817,0.23853720968753817,1.0078998010283964,1.038341820123306,0.9993987506786954,1.033336651756781,0.9565169757550469,1.3581414871538835
1,2023,40,age_dep,8,peak_yday,0.23853720968753817,0.23853720968753817,0,-0.17,0,0,-14,7
1,2023,40,age_dep,9,cumul_hosp,0.26250738915317245,0.26250738915317245,0.9992053490364744,1.0036254544740684,0.9978864047110716,1.0023502103969812,0.9851106961477932,1.0512709691143278
1,2023,40,age_dep,9,peak_hosp,0.26250738915317245,0.26250738915317245,1.0015694163960593,1.0117121477965956,0.9966324550152539,1.0139395311843287,0.929173356097331,1.180774426619978
1,2023,40,age_dep,9,peak_yday,0.26250738915317245,0.26250738915317245,0,0.67,0,0,-7,0
1,2023,40,age_dep,10,cumul_hosp,0.29920687923560907,0.29920687923560907,0.9994704443594774,1.0012185913765554,0.9981940139129186,1.001905384685195,0.9885898837454687,1.0268134678556782
