agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
2,3,30711,61888,66,0.0011
3,1,30711,37775,64,0.0017
3,2,30711,128505,156,0.0012
3,3,30711,96625,118,0.0012
4,1,30711,12641,24,0.0019
4,2,30711,110718,156,0.0014
4,3,30711,138230,185,0.0013
5,1,30711,3776,8,0.0021
5,2,30711,132952,200,0.0015
5,3,30711,354966,515,0.0015
6,1,30711,511,1,0.0024
6,2,30711,77406,122,0.0016
6,3,30711,403558,597,0.0015
7,1,30711,60,0,0.0023
7,2,30711,44023,71,0.0016
7,3,30711,413242,584,0.0014
8,1,30711,7,0,0.0015
8,2,30711,51108,81,0.0016
8,3,30711,4213153,5659,0.0013
9,1,30711,0,0,NA
9,2,30711,6296,11,0.0017
9,3,30711,5722295,6779,0.0012
10,1,30711,0,0,NA
10,2,30711,940,237,0.2519
10,3,30711,2710387,3214,0.0012
11,1,30711,0,0,2
11,2,30711,5099,1868,0.3664
11,3,30711,1427291,2201,0.0015
1,1,30712,420974,976,0.0023
1,2,30712,117515,184,0.0016
1,3,30712,25016,45,0.0018
2,1,30712,104661,458,0.0044
2,2,30712,136330,319,0.0023
2,3,30712,60381,146,0.0024
3,1,30712,38967,161,0.0041
3,2,30712,126477,364,0.0029
3,3,30712,93503,286,0.0031
4,1,30712,12760,60,0.0047
4,2,30712,109624,363,0.0033
4,3,30712,135584,471,0.0035
5,1,30712,3722,18,0.0048
5,2,30712,131871,511,0.0039
5,3,30712,341986,1340,0.0039
6,1,30712,499,3,0.0051
6,2,30712,77100,326,0.0042
6,3,30712,377518,1507,0.004
7,1,30712,58,0,0.0055
7,2,30712,43810,192,0.0044
7,3,30712,359405,1403,0.0039
8,1,30712,7,0,0.0059
8,2,30712,51700,242,0.0047
8,3,30712,3587015,14595,0.0041
9,1,30712,0,0,NA
9,2,30712,6713,185,0.0276
9,3,30712,3904884,15018,0.0038
10,1,30712,0,0,NA
10,2,30712,4247,1432,0.3371
10,3,30712,1773819,6523,0.0037
11,1,30712,1,1,0.677
11,2,30712,18631,5146,0.2762
11,3,30712,901012,2617,0.0029
