agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
7,2,5669,25247,3889,0.1541
7,3,5669,170819,27886,0.1632
8,1,5669,8,2,0.1904
8,2,5669,20603,3559,0.1728
8,3,5669,1710547,282972,0.1654
9,1,5669,0,0,NA
9,2,5669,1774,297,0.1673
9,3,5669,1481924,257448,0.1737
10,1,5669,0,0,NA
10,2,5669,409,20,0.0487
10,3,5669,840366,147887,0.176
11,1,5669,0,0,NA
11,2,5669,500,54,0.1072
11,3,5669,558317,98864,0.1771
1,1,6090,409207,265929,0.6499
1,2,6090,53980,56260,1.0422
1,3,6090,1224,1188,0.9704
2,1,6090,173948,184302,1.0595
2,2,6090,105206,98844,0.9395
2,3,6090,5546,5385,0.9709
3,1,6090,70047,76235,1.0883
3,2,6090,112015,112807,1.0071
3,3,6090,9651,9500,0.9844
4,1,6090,27032,31443,1.1632
4,2,6090,137579,127935,0.9299
4,3,6090,31303,32138,1.0267
5,1,6090,8571,10249,1.1957
5,2,6090,156039,170210,1.0908
5,3,6090,72849,81734,1.122
6,1,6090,1330,1673,1.2573
6,2,6090,86961,103501,1.1902
6,3,6090,88154,102888,1.1671
7,1,6090,190,255,1.3461
7,2,6090,45085,56593,1.2553
7,3,6090,91423,109095,1.1933
8,1,6090,32,48,1.5265
8,2,6090,43875,55757,1.2708
8,3,6090,1040365,1267409,1.2182
9,1,6090,0,1,2
9,2,6090,4140,5287,1.2771
9,3,6090,984040,1217117,1.2369
10,1,6090,0,0,NA
10,2,6090,610,726,1.1903
10,3,6090,625290,779739,1.247
11,1,6090,0,0,NA
11,2,6090,328,372,1.1352
11,3,6090,467365,584529,1.2507
1,1,6329,441934,185727,0.4203
1,2,6329,132262,51040,0.3859
1,3,6329,17916,7449,0.4158
2,1,6329,139219,93001,0.668
2,2,6329,169668,83822,0.494
2,3,6329,58153,23775,0.4088
3,1,6329,52004,34772,0.6686
3,2,6329,154071,83614,0.5427
3,3,6329,88817,37520,0.4224
4,1,6329,16971,11818,0.6964
