exp_dep,age_dep,seasforc_width_wks,R0,peak_week,seasforce_peak,omega,par_id,const_delta,seas_conc_lim,npi_start,npi_stop,seas_start_wk,seas_stop_wk
0.75,0.5625,3,1,48,1,0.002857142857142857,16310,1.7355623301524445,0.85,2020-03-26,2021-05-17,42,8
0.5,0.625,3,1,48,1,0.002857142857142857,16323,1.395277039096517,0.85,2020-03-26,2021-05-17,42,8
0.25,0.6875,3,1,48,1,0.002857142857142857,16336,1.0589387224276268,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,5,1,48,1,0.002857142857142857,16454,1.2405396024934034,0.85,2020-03-26,2021-05-17,42,8
1.625,0.25,5,1,48,1,0.002857142857142857,16467,1.3829680971132456,0.85,2020-03-26,2021-05-17,42,8
1.75,0.25,5,1,48,1,0.002857142857142857,16468,1.608388328806521,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1,48,1,0.002857142857142857,16469,1.864508527869845,0.85,2020-03-26,2021-05-17,42,8
1.5,0.3125,5,1,48,1,0.002857142857142857,16481,1.707540617406429,0.85,2020-03-26,2021-05-17,42,8
1.625,0.3125,5,1,48,1,0.002857142857142857,16482,1.9931956593344629,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,5,1,48,1,0.002857142857142857,16483,2.318081409248047,0.85,2020-03-26,2021-05-17,42,8
1.375,0.375,5,1,48,1,0.002857142857142857,16495,2.0093685326971795,0.85,2020-03-26,2021-05-17,42,8
1.5,0.375,5,1,48,1,0.002857142857142857,16496,2.3553493258474707,0.85,2020-03-26,2021-05-17,42,8
1.625,0.375,5,1,48,1,0.002857142857142857,16497,2.749376503632598,0.85,2020-03-26,2021-05-17,42,8
1.25,0.4375,5,1,48,1,0.002857142857142857,16509,2.25619773281701,0.85,2020-03-26,2021-05-17,42,8
1.375,0.4375,5,1,48,1,0.002857142857142857,16510,2.657224092687781,0.85,2020-03-26,2021-05-17,42,8
1.5,0.4375,5,1,48,1,0.002857142857142857,16511,3.1147551449592887,0.85,2020-03-26,2021-05-17,42,8
